dataset	papers	kind	qtl_types	types_mentioned_by_citing_papers	earliest_paper_year	earliest_paper	earliest_doi	earliest_pmid	dataset_url	dataset_url_route	dataset_url_status	url_attributed_from	access_routes_seen	contexts_seen	url_evidence	catalogue_study	catalogue_datasets	catalogue_donor_range	study_pmid	study_donors	study_donors_evidence	url_dataset_id	url_dataset_context	url_dataset_donors
GoDMC	41	primary dataset	meQTL	eQTL;meQTL;pQTL;sQTL	2019	Epigenome-Wide Association Study of Incident Type 2 Diabetes in a British Population: EPIC-Norfolk Study.	10.2337/db18-0290	31506343	http://www.godmc.org.uk/	portal	ok	11613	portal:29;unknown:5;supplement:4;direct:3	CD4;CD8;NK cell;T cell;activated;blood;bone;brain;breast;cancer;cartilage;colon;cortex;dendritic cell;epithelial;heart;kidney;liver;lung;macrophage;monocyte;neuron;neutrophil;ovary;pancreas;plasma;pla	corpus: paper's own deposit									
ARIC	37	primary dataset	pQTL;eQTL	pQTL;eQTL;meQTL;sQTL;hQTL	2016	DNA methylation signatures of chronic low-grade inflammation are associated with complex diseases.	10.1186/s13059-016-1119-5	27955697	https://aric.cscc.unc.edu/aric9/researchers/Obtain_Submit_Data	portal	ok	5881	portal:25;unknown:7;controlled:2;supplement:2;direct:1	T cell;artery;astrocyte;blood;brain;breast;cancer;cortex;erythroid;heart;kidney;liver;lung;macrophage;microglia;muscle;plasma;prostate;serum;tumor;whole blood;whole cortex	corpus: paper's own deposit									
mQTLdb	36	catalogue	meQTL	meQTL;eQTL;pQTL;sQTL;hQTL	2017	BECon: a tool for interpreting DNA methylation findings from blood in the context of brain.	10.1038/tp.2017.171	28763057	http://mqtldb.godmc.org.uk/	portal	ok	10068	portal:24;unknown:5;direct:3;request:2;controlled:1;supplement:1	CD4;CD8;NK cell;T cell;artery;blood;bone;brain;breast;cancer;cartilage;epithelial;heart;kidney;liver;lung;macrophage;neuron;pancreas;placenta;synovium;tumor;whole blood	corpus: paper's own deposit									
GEUVADIS	34	primary dataset	eQTL;sQTL	eQTL;sQTL;hQTL	2016	Selected heterozygosity at cis-regulatory sequences increases the expression homogeneity of a cell population in humans.	10.1186/s13059-016-1027-8	27468897	http://www.ebi.ac.uk/arrayexpress/files/E-GEUV-1/analysis_results/GD660.GeneQuantRPKM.txt.gz	direct	dead	12279	portal:21;supplement:6;unknown:4;direct:2;controlled:1	B cell;PBMC;T cell;blood;cell line;epithelial;heart;lymphoblastoid;monocyte;skin;whole blood	corpus: paper's own deposit									
McRae/BSGS-LBC	31	primary dataset	meQTL	eQTL;meQTL;pQTL;sQTL	2012	The Brisbane Systems Genetics Study: genetical genomics meets complex trait genetics.	10.1371/journal.pone.0035430	22563384					portal:21;unknown:5;supplement:3;controlled:2	CD4;CD8;T cell;adipose;artery;astrocyte;blood;bone;brain;cancer;colon;endothelial;heart;hippocampus;liver;lung;macrophage;microglia;muscle;neuron;pancreas;pituitary;plasma;platelet;skin;tumour;whole b										
CommonMind	31	primary dataset	eQTL;sQTL	eQTL;sQTL;pQTL	2016	Gene expression elucidates functional impact of polygenic risk for schizophrenia.	10.1038/nn.4399	27668389	https://shiny.synapse.org/users/ssiebert/cmc_eqtl_query/	supplement	ok	12377	portal:16;supplement:8;unknown:4;request:2;direct:1	T cell;blood;brain;cortex;monocyte;muscle;neuron;plasma;skeletal muscle;tumor	corpus: paper's own deposit									
TwinsUK/MuTHER	30	primary dataset	eQTL;meQTL	eQTL;meQTL;hQTL;sQTL	2012	Differential allelic expression of IL13 and CSF2 genes associated with asthma.	10.1590/s1415-47572012005000055	23055793	https://twinsuk.ac.uk/	portal	ok	10978	portal:16;unknown:5;supplement:5;controlled:2;request:1;direct:1	T cell;adipose;blood;cell line;endothelial;fibroblast;lymphoblastoid;macrophage;monocyte;neutrophil;plasma;serum;skin;tumour;whole blood	corpus: paper's own deposit									
MetaBrain	28	primary dataset	eQTL;sQTL	eQTL;pQTL;sQTL;meQTL	2022	Genome-wide association analyses of physical activity and sedentary behavior provide insights into underlying mechanisms and roles in disease prevention.	10.1038/s41588-022-01165-1	36071172	https://www.metabrain.nl/	portal	ok	7844	portal:12;unknown:8;supplement:5;request:1;direct:1;unavailable:1	CD4;astrocyte;blood;brain;cancer;cortex;hippocampus;microglia;muscle;neuron;oligodendrocyte;pancreas;plasma;skeletal muscle;skin;whole blood	corpus: paper's own deposit									
Framingham (FHS)	26	primary dataset	eQTL;meQTL	eQTL;meQTL;pQTL;sQTL	2014	Genetic associations with expression for genes implicated in GWAS studies for atherosclerotic cardiovascular disease and blood phenotypes.	10.1093/hmg/ddt461	24057673					unknown:14;controlled:5;portal:5;supplement:1;direct:1	T cell;artery;blood;brain;cancer;cortex;erythroid;heart;hippocampus;kidney;liver;lung;microglia;monocyte;muscle;neuron;plasma;platelet;serum;whole blood;whole cortex										
eQTL Catalogue	25	catalogue	eQTL;sQTL	eQTL;sQTL;pQTL	2021	Genome-wide meta-analysis, fine-mapping and integrative prioritization implicate new Alzheimer's disease risk genes.	10.1038/s41588-020-00776-w	33589840	https://raw.githubusercontent.com/eQTL-Catalogue/eQTL-Catalogue-resources/master/tabix/tabix_ftp_paths.tsv	direct	ok	3686	portal:21;direct:2;controlled:1;supplement:1	CD4;T cell;astrocyte;brain;cancer;differentiation;heart;microglia;monocyte;neuron;oligodendrocyte;plasma;skin;tumor	corpus: paper's own deposit									
MESA	25	primary dataset	eQTL;meQTL	eQTL;meQTL;pQTL;sQTL	2020	Whole genome sequence analysis of pulmonary function and COPD in 19,996 multi-ethnic participants.	10.1038/s41467-020-18334-7	33057025					portal:12;unknown:7;controlled:4;direct:1;supplement:1	PBMC;T cell;blood;heart;infected;kidney;liver;lung;plasma;serum;whole blood										
ARIES/ALSPAC	22	primary dataset	meQTL	meQTL;eQTL;sQTL	2014	Cis and trans effects of human genomic variants on gene expression.	10.1371/journal.pgen.1004461	25010687					portal:14;unknown:4;supplement:2;request:1;unavailable:1	blood;bone;breast;cancer;cell line;cortex;kidney;liver;lung;lymphoblastoid;serum;skin;whole blood										
DICE	21	primary dataset	eQTL	eQTL;meQTL;sQTL;hQTL;caQTL;pQTL	2018	Impact of Genetic Polymorphisms on Human Immune Cell Gene Expression.	10.1016/j.cell.2018.10.022	30449622	https://dice-database.org	portal	ok	11844	portal:16;supplement:3;controlled:1;request:1	B cell;CD4;CD8;NK cell;T cell;activated;blood;bone;brain;cell line;colon;dendritic cell;differentiation;epithelial;keratinocyte;kidney;liver;lung;microglia;monocyte;neuron;whole blood	corpus: paper's own deposit									
Braineac/UKBEC	21	primary dataset	eQTL	eQTL;meQTL;sQTL	2013	Resolving the polymorphism-in-probe problem is critical for correct interpretation of expression QTL studies.	10.1093/nar/gkt069	23435227	http://www.braineac.org/	portal	ok	12702	portal:14;unknown:3;request:2;supplement:2	blood;brain;cerebellum;cortex;hippocampus;lymphoblastoid;nerve;neuron;spleen;whole blood	corpus: paper's own deposit									
BrainSeq	20	primary dataset	eQTL;sQTL	eQTL;sQTL;meQTL	2017	Increased brain expression of GPNMB is associated with genome wide significant risk for Parkinson's disease on chromosome 7p15.3.	10.1007/s10048-017-0514-8	28391543	http://eqtl.brainseq.org/phase1	portal	ok	11625	portal:7;request:5;supplement:5;unknown:3	blood;brain;cortex;differentiation;hippocampus;lymphoblastoid;microglia;neuron;oligodendrocyte;spleen	corpus: paper's own deposit									
QTLbase	19	catalogue	eQTL;meQTL;pQTL	eQTL;meQTL;pQTL;sQTL	2020	QTLbase: an integrative resource for quantitative trait loci across multiple human molecular phenotypes.	10.1093/nar/gkz888	31598699	http://bioinfo.szbl.ac.cn/scQTLbase	portal	ok	6474	portal:9;unknown:8;request:1;supplement:1	CD4;T cell;adipose;airway;blood;brain;breast;cancer;cell line;dendritic cell;epithelial;liver;lung;monocyte;neuron;oligodendrocyte;ovary;plasma;saliva	corpus: paper's own deposit									
INTERVAL/SomaLogic	18	primary dataset	pQTL	pQTL;eQTL;metabolite-QTL;sQTL	2020	Large genome-wide association study identifies three novel risk variants for restless legs syndrome.	10.1038/s42003-020-01430-1	33239738					portal:10;unknown:6;unavailable:1;supplement:1	CD4;blood;lung;monocyte;neutrophil;plasma;platelet;serum;whole blood										
HipSci	17	primary dataset	eQTL;pQTL	eQTL;pQTL;sQTL;caQTL;tuQTL	2017	Common genetic variation drives molecular heterogeneity in human iPSCs.	10.1038/nature22403	28489815	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-4057	supplement	ok	12215	supplement:10;portal:7	T cell;brain;cancer;cell line;differentiation;fibroblast;iPSC;macrophage;monocyte;neuron;stimulated	corpus: paper's own deposit									
DGN	17	primary dataset	eQTL	eQTL;sQTL;pQTL	2014	Characterizing the genetic basis of transcriptome diversity through RNA-sequencing of 922 individuals.	10.1101/gr.155192.113	24092820					portal:13;unknown:3;controlled:1	B cell;T cell;blood;monocyte;whole blood										
Fenland	17	primary dataset	pQTL	pQTL;eQTL;sQTL;meQTL	2021	Actionable druggable genome-wide Mendelian randomization identifies repurposing opportunities for COVID-19.	10.1038/s41591-021-01310-z	33837377					portal:11;supplement:3;unknown:2;request:1	T cell;artery;blood;cancer;differentiation;heart;kidney;liver;lung;monocyte;muscle;plasma;tumor										
BrainMeta	15	primary dataset	eQTL;sQTL	eQTL;sQTL;pQTL;meQTL;caQTL;metabolite-QTL	2022	Genetic control of RNA splicing and its distinct role in complex trait variation.	10.1038/s41588-022-01154-4	35982161	https://yanglab.westlake.edu.cn/data/SMR/BrainMeta_cis_sqtl_summary.tar.gz	request	ok	2323	portal:11;supplement:2;request:2	CD4;T cell;astrocyte;blood;brain;cancer;cerebellum;cortex;dendritic cell;endothelial;microglia;neuron;oligodendrocyte;plasma;tumor	corpus: paper's own deposit									
STARNET	14	primary dataset	eQTL	eQTL;metabolite-QTL;hQTL;caQTL;sQTL;pQTL	2019	2018 George Lyman Duff Memorial Lecture: Genetics and Genomics of Coronary Artery Disease: A Decade of Progress.	10.1161/atvbaha.119.311392	31462092	http://starnet.mssm.edu	portal	ok	9369	portal:8;unknown:3;controlled:2;supplement:1	T cell;activated;adipose;artery;blood;brain;heart;iPSC;liver;macrophage;microglia;monocyte;muscle;plasma;skeletal muscle	corpus: paper's own deposit									
Võsa trans-eQTL	13	primary dataset	eQTL	eQTL;pQTL	2019	Genomics of 1 million parent lifespans implicates novel pathways and common diseases and distinguishes survival chances.	10.7554/elife.39856	30642433					portal:7;unknown:6	CD4;CD8;T cell;artery;astrocyte;blood;brain;cancer;cerebellum;cortex;hippocampus;kidney;lung;neuron;pituitary;serum										
PhenoScanner	11	catalogue	eQTL	eQTL;sQTL;pQTL;caQTL	2019	Genome-wide analysis identifies molecular systems and 149 genetic loci associated with income.	10.1038/s41467-019-13585-5	31844048	http://www.phenoscanner.medschl.cam.ac.uk/	portal	dead	11564	portal:8;controlled:1;supplement:1;request:1	T cell;blood;brain;cancer;dendritic cell;differentiation;iPSC;liver;plasma;tumor	corpus: paper's own deposit									
Open Targets Genetics	10	catalogue	eQTL	eQTL;sQTL;pQTL	2021	Open Targets Genetics: systematic identification of trait-associated genes using large-scale genetics and functional genomics.	10.1093/nar/gkaa840	33045747					portal:6;supplement:2;direct:1;unknown:1	blood;differentiation;muscle;nerve;plasma;platelet;retina										
BIOS	8	primary dataset	eQTL;meQTL	eQTL;meQTL;pQTL	2016	Blood lipids influence DNA methylation in circulating cells.	10.1186/s13059-016-1000-6	27350042	https://www.bbmri.nl/acquisition-use-analyze/bios	portal	skipped	8514	portal:7;supplement:1	T cell;activated;blood;liver;monocyte;serum;whole blood	corpus: paper's own deposit									
NTR/NESDA	8	primary dataset	eQTL	eQTL;meQTL	2017	Differential gene expression patterns between smokers and non-smokers: cause or consequence?	10.1111/adb.12322	26594007					portal:4;unknown:2;request:1;controlled:1	artery;blood;cancer;epithelial;neuron										
Fairfax monocyte	8	primary dataset	eQTL	eQTL;hQTL;sQTL;meQTL	2016	Regulatory polymorphisms modulate the expression of HLA class II molecules and promote autoimmunity.	10.7554/elife.12089	26880555					supplement:4;request:2;portal:2	B cell;blood;bone;brain;cancer;dendritic cell;iPSC;macrophage;microglia;monocyte;stimulated										
scQTLbase	8	catalogue	eQTL	eQTL;meQTL;pQTL;sQTL	2024	scQTLbase: an integrated human single-cell eQTL database.	10.1093/nar/gkad781	37791879	http://bioinfo.szbl.ac.cn/scQTLbase	portal	ok	6474	portal:4;unknown:3;supplement:1	T cell;airway;brain;dendritic cell;epithelial;lung;monocyte;neuron;oligodendrocyte;plasma	corpus: paper's own deposit									
Westra blood eQTL	7	primary dataset	eQTL	eQTL;meQTL	2015	Dissecting the genetics of the human transcriptome identifies novel trait-related trans-eQTLs and corroborates the regulatory relevance of non-protein coding lo	10.1093/hmg/ddv194	26019233					portal:4;request:2;unknown:1	artery;blood;brain;dendritic cell;skin										
Olink Explore	6	primary dataset	pQTL	pQTL;eQTL	2024	Drug-target Mendelian randomisation applied to metabolic dysfunction-associated steatotic liver disease: opportunities and challenges.	10.1136/egastro-2024-100114	39944268					unknown:5;supplement:1	artery;fibroblast;liver;plasma										
GENOA	6	primary dataset	eQTL	eQTL;meQTL;pQTL;sQTL	2019	The metabolic network coherence of human transcriptomes is associated with genetic variation at the cadherin 18 locus.	10.1007/s00439-019-01994-x	30852652					portal:3;unknown:1;controlled:1;direct:1	T cell;blood										
CEDAR	6	primary dataset	eQTL	eQTL;sQTL;meQTL	2018	IBD risk loci are enriched in multigenic regulatory modules encompassing putative causative genes.	10.1038/s41467-018-04365-8	29930244	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6666	supplement	ok	11856	supplement:4;controlled:1;unknown:1	T cell;blood;monocyte;plasma;stimulated	corpus: paper's own deposit									
sc-eQTLGen	6	primary dataset	eQTL	eQTL	2020	The single-cell eQTLGen consortium.	10.7554/elife.52155	32149610					portal:3;unknown:2;supplement:1	CD4;CD8;PBMC;T cell;blood;neutrophil;whole blood										
Alasoo macrophage	5	primary dataset	eQTL;caQTL;tuQTL	eQTL;caQTL;tuQTL;sQTL	2019	Genetic effects on promoter usage are highly context-specific and contribute to complex traits.	10.7554/elife.41673	30618377	https://zenodo.org/communities/macrophage-tuqtls/	supplement	ok	11578	supplement:3;portal:2	blood;brain;macrophage;microglia;monocyte;stimulated	corpus: paper's own deposit									
ImmuNexUT	4	primary dataset	eQTL	eQTL;sQTL	2022	Lupus enhancer risk variant causes dysregulation of IRF8 through cooperative lncRNA and DNA methylation machinery.	10.1038/s41467-022-29514-y	35388006	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11306	supplement	ok	521	supplement:2;portal:2	B cell;T cell;blood;infected;whole blood	corpus: paper's own deposit									
iPSCORE	4	primary dataset	eQTL;caQTL	eQTL;sQTL;caQTL	2023	Fine mapping spatiotemporal mechanisms of genetic variants underlying cardiac traits and disease.	10.1038/s41467-023-36638-2	36854752					portal:2;supplement:2	iPSC;islet;muscle;pancreas										
Degner dsQTL	4	primary dataset	caQTL	eQTL;caQTL	2015	Genetic and epigenetic variation in the lineage specification of regulatory T cells.	10.7554/elife.07571	26510014	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-1884	supplement	ok	12559	portal:3;supplement:1	T cell;cell line;lymphoblastoid	corpus: paper's own deposit									
AGES-Reykjavik	3	primary dataset	pQTL	pQTL;eQTL	2022	Identifying causal genes for stroke via integrating the proteome and transcriptome from brain and blood.	10.1186/s12967-022-03377-9	35449099					portal:3	blood;brain;heart;neuron;serum										
Randolph influenza	3	primary dataset	eQTL	eQTL	2024	Chromatin activity identifies differential gene regulation across human ancestries.	10.1186/s13059-024-03165-2	38225662	https://zenodo.org/records/10396417	supplement	ok	7873	portal:2;supplement:1	blood;lymphoblastoid;tumor	corpus: paper's own deposit									
SCALLOP	2	primary dataset	pQTL	pQTL;eQTL	2020	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	10.1038/s42255-020-00287-2	33067605					unknown:1;portal:1	blood										
Kasela	2	primary dataset	eQTL	eQTL;sQTL	2020	Co-expression analysis reveals interpretable gene modules controlled by <i>trans</i>-acting genetic variants.	10.7554/elife.58705	32880574	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6666	supplement	skipped	11255	supplement:2	blood;monocyte;stimulated	corpus: paper's own deposit									
Genes & Health Seer pGWAS	1	primary dataset	pQTL	pQTL	2026	Nanoparticle-enriched mass spectrometry proteomics in British South Asians identifies links between genetic variants, plasma protein levels and disease risk.	10.1038/s41588-026-02697-6	42498778					request:1	plasma										
CLUES/Perez lupus	1	primary dataset	eQTL	eQTL	2026	Cell-type-specific eQTLs underlie the genetic architecture of complex traits.	10.1038/s41586-026-10577-6	42649298					portal:1	T cell;blood										
IBDVerse	1	primary dataset	eQTL	eQTL	2026	Cell-type-resolved genetic variation shapes inflammatory bowel disease risk.	10.1038/s41586-026-10627-z	42236949	https://www.ebi.ac.uk/biostudies/studies/S-BSST2922	supplement	ok	3292	supplement:1	T cell;blood;epithelial	corpus: paper's own deposit									
TenK10K	1	primary dataset	eQTL;caQTL	eQTL	2025	Single-cell genetics identifies cell-type-specific effector genes across complex traits and diseases	10.1101/2025.08.28.25334614						unknown:1											
Kumasaka caQTL	1	primary dataset	caQTL	caQTL;eQTL	2025	Chromatin accessibility variation provides insights into missing regulation underlying immune-mediated diseases.	10.7554/elife.98289	41396161					portal:1	LCL;cell line;lymphoblastoid										
van der Wijst	1	primary dataset	eQTL	eQTL	2023	Identification of genetic variants that impact gene co-expression relationships using large-scale single-cell data.	10.1186/s13059-023-02897-x	37072791					portal:1	T cell;blood										
Young Finns	1	primary dataset	eQTL	eQTL	2022	Polygenic Prediction of Molecular Traits using Large-Scale Meta-analysis Summary Statistics	10.1101/2022.11.23.517213						unknown:1											
Nedelec/Quach macrophage	1	primary dataset	eQTL	eQTL;sQTL	2021	A compendium of uniformly processed human gene expression and splicing quantitative trait loci.	10.1038/s41588-021-00924-w	34493866	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6667	supplement	ok	10855	supplement:1		corpus: paper's own deposit									
Joehanes R 2017	1	unregistered dataset	eQTL	eQTL	2017	Integrated genome-wide analysis of expression quantitative trait loci aids interpretation of genomic association studies.	10.1186/s13059-016-1142-6	28122634	http://www.sanger.ac.uk/science/tools/peer	portal	ok	797	portal:1	whole blood;blood;artery	this paper's own deposit, confirmed by HEAD									
Lu Y 2019	1	unregistered dataset	eQTL	eQTL	2019	Evolution and Comprehensive Analysis of DNaseI Hypersensitive Sites in Regulatory Regions of Primate Brain-Related Genes.	10.3389/fgene.2019.00152	30930929	http://genome.ucsc.edu/index.html	portal	ok	1211	portal:1	brain	this paper's own deposit, confirmed by HEAD									
Castonguay CE 2026	1	unregistered dataset	eQTL	eQTL	2026	Single-cell expression QTL analyses of the human cerebellum reveal vulnerability of oligodendrocytes in essential tremor.	10.1038/s41588-026-02544-8	41857318	https://doi.org/10.5281/zenodo.15366365	supplement	ok	1633	supplement:1	brain;cortex;cerebellum;neuron;oligodendrocyte	this paper's own deposit, confirmed by HEAD									
Fu Y 2026	1	unregistered dataset	eQTL	eQTL	2026	Single-cell eQTL mapping reveals cell-type-specific genetic regulation in lung cancer.	10.1016/j.xgen.2025.101100	41386230	https://doi.org/10.5281/zenodo.17567650	supplement	ok	1636	supplement:1	lung;epithelial;cancer	this paper's own deposit, confirmed by HEAD									
Kar A 2026	1	unregistered dataset	eQTL	eQTL	2026	Lessons from single cell omics: admixed American ancestry and sex confer cardiometabolic disease risk in Mexicans.	10.1186/s13073-026-01633-x	41896987	https://zenodo.org/records/19080953	supplement	ok	2216	supplement:1	adipose;T cell;serum	this paper's own deposit, confirmed by HEAD									
Yang Y 2026	1	unregistered dataset	eQTL;pQTL	eQTL;pQTL	2026	Integrative proteogenomic and observational analysis identifies potential biomarkers for latent autoimmune diabetes in adults.	10.1186/s12933-026-03203-2	42106685	https://github.com/BarryJasmine/Proteins_LADA	portal	ok	2264	portal:1	plasma;serum	this paper's own deposit, confirmed by HEAD									
Mu Z 2026	1	unregistered dataset	caQTL;eQTL	caQTL;eQTL	2026	Impact of disease-associated chromatin accessibility QTLs across immune cell types and contexts.	10.1016/j.xgen.2025.101061	41218612	https://doi.org/10.5281/zenodo.17049487	supplement	ok	2443	supplement:1	T cell	this paper's own deposit, confirmed by HEAD									
Koopmans F 2026	1	unregistered dataset	pQTL	pQTL	2026	Human brain prefrontal cortex proteomics identifies compromised energy metabolism and neuronal function in Schizophrenia.	10.1038/s41467-026-68950-y	41611717	https://www.ebi.ac.uk/pride/archive/projects/PXD058441	supplement	ok	2552	supplement:1	brain;cortex;neuron	this paper's own deposit, confirmed by HEAD									
Dang X 2026	1	unregistered dataset	eQTL	eQTL	2026	Genetic and functional insights into long noncoding RNAs in schizophrenia.	10.1038/s41380-025-03421-2	41392096	https://figshare.com/ndownloader/files/34517861	supplement	ok	2857	supplement:1	brain;differentiation	this paper's own deposit, confirmed by HEAD									
Krockenberger L 2026	1	unregistered dataset	eQTL	eQTL	2026	FastGxC: Fast and powerful context-specific eQTL mapping in bulk and single-cell data.	10.1016/j.xgen.2026.101250	42155441	https://doi.org/10.5281/zenodo.18857301	supplement	ok	2993	supplement:1	blood;PBMC	this paper's own deposit, confirmed by HEAD									
Li T 2026	1	unregistered dataset	eQTL	eQTL	2026	Druggable Genome-Wide Mendelian Randomization Identifies Therapeutic Targets and DNA Methylation-Mediated Regulation in Urological Malignancies.	10.1177/15330338261449014	42098041	https://github.com/TaoenLi2423/code/tree/main	portal	ok	3094	portal:1	prostate;cancer	this paper's own deposit, confirmed by HEAD									
